"height","quantile5","quantile25","quantile50","quantile75","quantile95"
1.96,-0.0599999999999881,-0.039999999999992,-0.0600000000000023,-0.0499999999999972,-0.0600000000000023
1.97,-0.0699999999999932,-0.0499999999999972,-0.0699999999999932,-0.0600000000000023,-0.0700000000000074
1.98,-0.0799999999999983,-0.0499999999999972,-0.0699999999999932,-0.0600000000000023,-0.0700000000000074
1.99,-0.0799999999999983,-0.0499999999999972,-0.0799999999999983,-0.0700000000000074,-0.0800000000000125
2,-0.0899999999999892,-0.0599999999999881,-0.0799999999999983,-0.0700000000000074,-0.0800000000000125
2.01,-0.0899999999999892,-0.0599999999999881,-0.0900000000000034,-0.0700000000000074,-0.0800000000000125
2.02,-0.0999999999999943,-0.0699999999999932,-0.0900000000000034,-0.0799999999999983,-0.0900000000000034
2.03,-0.109999999999999,-0.0699999999999932,-0.0999999999999943,-0.0799999999999983,-0.0900000000000034
2.04,-0.109999999999999,-0.0699999999999932,-0.0999999999999943,-0.0900000000000034,-0.100000000000009
2.05,-0.11999999999999,-0.0799999999999983,-0.109999999999999,-0.0900000000000034,-0.100000000000009
2.06,-0.129999999999995,-0.0799999999999983,-0.109999999999999,-0.100000000000009,-0.109999999999999
2.07,-0.139999999999986,-0.0899999999999892,-0.120000000000005,-0.100000000000009,-0.109999999999999
2.08,-0.139999999999986,-0.0899999999999892,-0.120000000000005,-0.100000000000009,-0.109999999999999
2.09,-0.149999999999991,-0.0899999999999892,-0.129999999999995,-0.109999999999999,-0.120000000000005
2.1,-0.159999999999997,-0.0999999999999943,-0.140000000000001,-0.109999999999999,-0.120000000000005
2.11,-0.159999999999997,-0.0999999999999943,-0.140000000000001,-0.120000000000005,-0.13000000000001
2.12,-0.169999999999987,-0.0999999999999943,-0.150000000000006,-0.120000000000005,-0.13000000000001
2.13,-0.179999999999993,-0.109999999999999,-0.150000000000006,-0.129999999999995,-0.13000000000001
